,code,life_expectancy,local_name
0,ABW,78.4,Aruba
1,AFG,45.9,Afganistan/Afqanestan
2,AGO,38.3,Angola
3,AIA,76.1,Anguilla
4,ALB,71.6,Shqiperia
5,AND,83.5,Andorra
6,ANT,74.7,Nederlandse Antillen
7,ARE,74.1,Al-Imarat al- Arabiya al-Muttahida
8,ARG,75.1,Argentina
9,ARM,66.4,Hajastan
10,ASM,75.1,Amerika Samoa
11,ATA,,
12,ATF,,Terres australes francaises
13,ATG,70.5,Antigua and Barbuda
14,AuS,79.8,Australia
15,AuT,77.7,osterreich
16,AZE,62.9,Azarbaycan
17,BDI,46.2,Burundi/uburundi
18,BEL,77.8,Belgie/Belgique
19,BEN,50.2,Benin
20,BFA,46.7,Burkina Faso
21,BGD,60.2,Bangladesh
22,BGR,70.9,Balgarija
23,BHR,73.0,Al-Bahrayn
24,BHS,71.1,The Bahamas
25,BIH,71.5,Bosna i Hercegovina
26,BLR,68.0,Belarus
27,BLZ,70.9,Belize
28,BMu,76.9,Bermuda
29,BOL,63.7,Bolivia
30,BRA,62.9,Brasil
31,BRB,73.0,Barbados
32,BRN,73.6,Brunei Darussalam
33,BTN,52.4,Druk-Yul
34,BVT,,Bouvetoya
35,BWA,39.3,Botswana
36,CAF,44.0,Centrafrique/Be-Afrika
37,CAN,79.4,Canada
38,CCK,,Cocos (Keeling) Islands
39,CHE,79.6,Schweiz/Suisse/Svizzera/Svizra
40,CHL,75.7,Chile
41,CHN,71.4,Zhongquo
42,CIV,45.2,Cote dIvoire
43,CMR,54.8,Cameroun/Cameroon
44,COD,48.8,Republique Democratique du Congo
45,COG,47.4,Congo
46,COK,71.1,The Cook Islands
47,COL,70.3,Colombia
48,COM,60.0,Komori/Comores
49,CPV,68.9,Cabo Verde
50,CRI,75.8,Costa Rica
51,CuB,76.2,Cuba
52,CXR,,Christmas Island
53,CYM,78.9,Cayman Islands
54,CYP,76.7,Kypros/Kibris
55,CZE,74.5,esko
56,DEu,77.4,Deutschland
57,DJI,50.8,Djibouti/Jibuti
58,DMA,73.4,Dominica
59,DNK,76.5,Danmark
60,DOM,73.2,Republica Dominicana
61,DZA,69.7,Al-Jazair/Algerie
62,ECu,71.1,Ecuador
63,EGY,63.3,Misr
64,ERI,55.8,Ertra
65,ESH,49.8,As-Sahrawiya
66,ESP,78.8,Espana
67,EST,69.5,Eesti
68,ETH,45.2,YeItyop iya
69,FIN,77.4,Suomi
70,FJI,67.9,Fiji Islands
71,FLK,,Falkland Islands
72,FRA,78.8,France
73,FRO,78.4,Foroyar
74,FSM,68.6,Micronesia
75,GAB,50.1,Le Gabon
76,GBR,77.7,united Kingdom
77,GEO,64.5,Sakartvelo
78,GHA,57.4,Ghana
79,GIB,79.0,Gibraltar
80,GIN,45.6,Guinee
81,GLP,77.0,Guadeloupe
82,GMB,53.2,The Gambia
83,GNB,49.0,Guine-Bissau
84,GNQ,53.6,Guinea Ecuatorial
85,GRC,78.4,Ellada
86,GRD,64.5,Grenada
87,GRL,68.1,Kalaallit Nunaat/Gronland
88,GTM,66.2,Guatemala
89,GuF,76.1,Guyane francaise
90,GuM,77.8,Guam
91,GuY,64.0,Guyana
92,HKG,79.5,Xianggang/Hong Kong
93,HMD,,Heard and McDonald Islands
94,HND,69.9,Honduras
95,HRV,73.7,Hrvatska
96,HTI,49.2,Haiti/Dayti
97,HuN,71.4,Magyarorszag
98,IDN,68.0,Indonesia
99,IND,62.5,Bharat/India
100,IOT,,British Indian Ocean Territory
101,IRL,76.8,Ireland/eire
102,IRN,69.7,Iran
103,IRQ,66.5,Al- Iraq
104,ISL,79.4,Island
105,ISR,78.6,Yisrael/Israil
106,ITA,79.0,Italia
107,JAM,75.2,Jamaica
108,JOR,77.4,Al-urdunn
109,JPN,80.7,Nihon/Nippon
110,KAZ,63.2,Qazaqstan
111,KEN,48.0,Kenya
